index,country,country_code,type,latitude,longitude
0,Fiji,FJI,country,-17.713371,178.065032
1,United Republic of Tanzania,TZA,country,-6.369028,34.888822
2,Western Sahara,SAH,country,24.215527,-12.885834
3,Canada,CAN,country,56.130366,-106.34677099999999
4,United States of America,USA,country,37.09024,-95.712891
5,Kazakhstan,KAZ,country,48.019573,66.923684
6,Uzbekistan,UZB,country,41.377491,64.585262
7,Papua New Guinea,PNG,country,-6.314993,143.95555
8,Indonesia,IDN,country,-0.789275,113.921327
9,Argentina,ARG,country,-38.416097,-63.616671999999994
10,Chile,CHL,country,-35.675146999999996,-71.542969
11,Democratic Republic of the Congo,COD,country,-2.881278,23.440375
12,Somalia,SOM,country,5.152149,46.199616
13,Kenya,KEN,country,-0.023559,37.906193
14,Sudan,SDN,country,12.862807,30.217636
15,Chad,TCD,country,15.454166,18.732207
16,Haiti,HTI,country,18.971187,-72.28521500000001
17,Dominican Republic,DOM,country,18.735692999999998,-70.162651
18,Russia,RUS,country,61.52401,105.31875600000001
19,The Bahamas,BHS,country,25.03428,-77.39628
20,Falkland Islands,FLK,country,-51.796253,-59.523613
21,Norway,NOR,country,60.472024,8.468946
22,Greenland,GRL,country,71.706936,-42.604303
23,French Southern and Antarctic Lands,ATF,country,-49.1306765,69.5828104
24,East Timor,TLS,country,-8.874217,125.727539
25,South Africa,ZAF,country,-30.559482,22.937506
26,Lesotho,LSO,country,-29.609988,28.233608
27,Mexico,MEX,country,23.634501,-102.552784
28,Uruguay,URY,country,-32.522779,-55.765834999999996
29,Brazil,BRA,country,-14.235004,-51.92528
30,Bolivia,BOL,country,-16.290154,-63.588653
31,Peru,PER,country,-9.189967,-75.015152
32,Colombia,COL,country,4.570868,-74.297333
33,Panama,PAN,country,8.537981,-80.782127
34,Costa Rica,CRI,country,9.748917,-83.753428
35,Nicaragua,NIC,country,12.865416,-85.207229
36,Honduras,HND,country,15.199998999999998,-86.241905
37,El Salvador,SLV,country,13.794185,-88.89653
38,Guatemala,GTM,country,15.783470999999999,-90.23075899999999
39,Belize,BLZ,country,17.189877,-88.49765
40,Venezuela,VEN,country,6.42375,-66.58973
41,Guyana,GUY,country,4.860416000000001,-58.93018000000001
